Category,Message,word_count,uppercase_word_count,unique_word_count,character_count,letter_count,flagged_word_count,flagged_bigrams_count,digit_count,links_count,free_count,special_count
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,0,20,111,83,0,0,0,0,0,0
ham,Ok lar... Joking wif u oni...,6,0,6,29,18,0,0,0,0,0,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,28,2,24,155,97,5,0,25,0,1,0
ham,U dun say so early hor... U c already then say...,11,2,9,49,33,0,0,0,0,0,0
ham,"Nah I don't think he goes to usf, he lives around here though",13,1,12,61,47,0,0,0,0,0,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",32,0,31,147,103,1,0,4,0,1,0
ham,Even my brother is not like to speak with me. They treat me like aids patent.,16,0,14,77,60,0,0,0,0,0,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,0,21,160,128,0,0,1,0,0,0
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,26,2,24,157,106,2,0,19,0,0,0
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,3,24,154,111,3,0,13,0,2,0
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,0,21,109,83,0,0,0,0,0,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",26,4,24,136,81,2,0,22,0,0,1
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",26,7,26,155,101,5,1,20,1,1,0
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,1,30,196,156,0,0,0,0,0,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,8,8,8,35,26,0,0,0,0,0,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",19,1,17,149,120,3,1,0,1,0,2
ham,Oh k...i'm watching here:),4,0,4,26,17,0,0,0,0,0,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,0,17,81,57,0,0,1,0,0,0
ham,Fine if thats the way u feel. Thats the way its gota b,13,0,10,56,41,0,0,0,0,0,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",23,2,20,155,101,1,0,23,0,0,2
ham,Is that seriously how you spell his name?,8,0,8,41,33,0,0,0,0,0,0
ham,I‘m going to try for 2 months ha ha only joking,11,0,10,47,35,0,0,1,0,0,0
ham,So ü pay first lar... Then when is da stock comin...,11,0,11,52,36,0,0,0,0,0,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,1,16,88,65,0,0,1,0,0,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,11,1,11,57,45,0,0,0,0,0,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,1,27,144,110,0,0,0,0,0,0
ham,Lol your always so convincing.,5,0,5,30,25,0,0,0,0,0,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,28,0,22,134,97,0,0,0,0,0,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,0,15,75,54,1,0,0,0,0,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,1,12,64,49,0,0,0,0,0,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,0,23,130,101,0,0,0,0,0,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,41,0,34,188,139,0,0,2,0,0,0
ham,K tell me anything about you.,6,1,6,29,23,0,0,0,0,0,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,0,16,84,67,0,0,0,0,0,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,4,23,158,126,1,0,1,0,0,1
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,0,26,122,87,0,0,2,0,0,0
ham,"Oops, I'll let you know when my roommate's done",9,0,9,47,36,0,0,0,0,0,0
ham,I see the letter B on my car,8,2,8,28,21,0,0,0,0,0,0
ham,Anything lor... U decide...,4,1,4,27,18,0,0,0,0,0,0
